EpochTime,BuffWarning,status,Resolution
1521740230850,1,3,4
1521740230951,1,3,4
1521740231151,1,3,4
1521740231250,1,3,4
1521740231353,1,3,4
1521740231456,1,3,4
1521740231550,1,3,4
1521740231649,1,3,4
1521740231750,1,3,4
1521740231856,1,3,4
1521740231950,1,3,4
1521740232050,1,3,4
1521740232150,1,3,4
1521740232250,1,3,4
1521740232351,1,3,4
1521740232550,1,3,4
1521740232650,1,3,4
1521740232750,1,3,4
1521740232853,1,3,4
1521740232952,1,3,4
1521740233056,1,3,4
1521740233150,1,3,4
1521740233250,1,3,4
1521740233351,1,3,4
1521740233454,1,3,4
1521740233550,1,3,4
1521740233655,1,3,4
1521740233754,1,3,4
1521740233952,1,3,4
1521740234055,1,3,4
1521740234150,1,3,4
1521740234249,1,3,4
1521740234351,0,3,4
1521740234451,0,3,4
1521740234551,0,3,4
1521740234650,0,3,4
1521740234751,0,3,4
1521740234851,0,3,4
1521740234952,0,3,4
1521740235051,0,3,4
1521740235150,0,3,4
1521740235250,0,3,4
1521740235351,0,3,4
1521740235451,0,3,4
1521740235553,0,3,4
1521740235650,0,3,4
1521740235751,0,3,4
1521740235850,0,3,4
1521740235954,0,3,4
1521740236152,0,3,4
1521740236253,0,3,4
1521740236356,0,3,4
1521740236453,0,3,4
1521740236555,0,3,4
1521740236650,0,3,4
1521740236750,0,3,4
1521740236852,0,3,4
1521740236954,0,3,4
1521740237053,0,3,4
1521740237155,0,3,4
1521740237250,0,3,4
1521740237356,0,3,4
1521740237451,0,3,4
1521740237551,0,3,4
1521740237652,0,3,4
1521740237750,0,3,4
1521740237852,0,3,4
1521740237956,0,3,4
1521740238052,0,3,4
1521740238152,0,3,4
1521740238252,0,3,4
1521740238451,0,3,4
1521740238556,0,3,4
1521740238651,0,3,4
1521740238756,0,3,4
1521740238851,0,3,4
1521740238955,0,3,4
1521740239050,0,3,4
1521740239156,0,3,4
1521740239250,0,3,4
1521740239357,0,3,4
1521740239449,0,3,4
1521740239550,0,3,4
1521740239650,0,3,4
1521740239749,0,3,4
1521740239852,0,3,4
1521740239955,0,3,4
1521740240049,0,3,4
1521740240157,0,3,4
1521740240250,0,3,4
1521740240450,0,3,4
1521740240555,0,3,4
1521740240651,0,3,4
1521740240750,0,3,4
1521740240852,0,3,4
1521740240950,0,3,4
1521740241052,1,3,4
1521740241156,1,3,4
1521740241314,1,3,4
1521740241450,1,3,4
1521740241550,1,3,4
1521740241652,1,3,4
1521740241750,1,3,4
1521740241854,1,3,4
1521740241951,1,3,4
1521740242052,1,3,4
1521740242152,0,3,4
1521740242252,0,3,4
1521740242350,0,3,4
1521740242452,0,3,4
1521740242553,0,3,4
1521740242653,0,3,4
1521740242753,0,3,4
1521740242853,0,3,4
1521740242953,0,3,4
1521740243051,0,3,4
1521740243154,0,3,4
1521740243249,0,3,4
1521740243355,0,3,4
1521740243450,0,3,4
1521740243554,0,3,4
1521740243654,0,3,4
1521740243750,0,3,4
1521740243852,0,3,4
1521740243950,0,3,4
1521740244049,0,3,4
1521740244149,0,3,4
1521740244251,0,3,4
1521740244451,0,3,4
1521740244556,0,3,4
1521740244652,0,3,4
1521740244757,0,3,4
1521740244852,0,3,4
1521740244956,0,3,4
1521740245051,0,3,4
1521740245150,0,3,4
1521740245250,0,3,4
1521740245451,0,3,4
1521740245551,0,3,4
1521740245651,0,3,4
1521740245750,0,3,4
1521740245849,0,3,4
1521740245950,0,3,4
1521740246050,0,3,4
1521740246155,0,3,4
1521740246250,0,3,4
1521740246352,0,3,4
1521740246449,0,3,4
1521740246550,0,3,4
1521740246650,0,3,4
1521740246754,0,3,4
1521740246850,0,3,4
1521740246956,0,3,4
1521740247050,0,3,4
1521740247154,0,3,4
1521740247249,0,3,4
1521740247355,0,3,4
1521740247451,0,3,4
1521740247555,0,3,4
1521740247651,0,3,4
1521740247755,0,3,4
1521740247851,0,3,4
1521740247955,0,3,4
1521740248052,0,3,4
1521740248154,0,3,4
1521740248254,0,3,4
1521740248450,0,3,4
1521740248550,0,3,4
1521740248651,0,3,4
1521740248751,0,3,4
1521740248852,0,3,4
1521740248951,0,3,4
1521740249052,0,3,4
1521740249150,0,3,4
1521740249252,0,3,4
1521740249351,0,3,4
1521740249453,0,3,4
1521740249553,0,3,4
1521740249651,0,3,4
1521740249751,0,3,4
1521740249850,0,3,4
1521740249953,0,3,4
1521740250050,0,3,4
1521740250152,0,3,4
1521740250253,0,3,4
1521740250355,0,3,4
1521740250455,0,3,4
1521740250555,0,3,4
1521740250655,0,3,4
1521740250750,0,3,4
1521740250850,0,3,4
1521740250956,0,3,4
1521740251055,0,3,4
1521740251156,0,3,4
1521740251256,0,3,4
1521740251354,0,3,4
1521740251449,0,3,4
1521740251556,0,3,4
1521740251656,0,3,4
1521740251755,0,3,4
1521740251956,0,3,4
1521740252056,0,3,4
1521740252151,0,3,4
1521740252256,0,3,4
1521740252353,0,3,4
1521740252456,0,3,4
1521740252556,0,3,4
1521740252656,0,3,4
1521740252756,0,3,4
1521740252856,0,3,4
1521740252956,0,3,4
1521740253055,0,3,4
1521740253154,0,3,4
1521740253249,0,3,4
1521740253455,0,3,4
1521740253549,0,3,4
1521740253650,0,3,4
1521740253756,0,3,4
1521740253956,0,3,4
1521740254056,0,3,4
1521740254151,0,3,4
1521740254249,0,3,4
1521740254350,0,3,4
1521740254450,0,3,4
1521740254553,0,3,4
1521740254649,0,3,4
1521740254749,0,3,4
1521740254850,0,3,4
1521740255053,0,3,4
1521740255149,0,3,4
1521740255253,0,3,4
1521740255453,0,3,4
1521740255650,0,3,4
1521740255750,0,3,4
1521740255849,0,3,4
1521740255950,0,3,4
1521740256051,0,3,4
1521740256151,0,3,4
1521740256251,0,3,4
1521740256350,0,3,4
1521740256451,0,3,4
1521740256550,0,3,4
1521740256650,0,3,4
1521740256752,0,3,4
1521740256853,0,3,4
1521740256952,0,3,4
1521740257051,0,3,4
1521740257153,0,3,4
1521740257253,0,3,4
1521740257355,0,3,4
1521740257453,0,3,4
1521740257553,0,3,4
1521740257653,0,3,4
1521740257750,0,3,4
1521740257855,0,3,4
1521740257951,0,3,4
1521740258055,0,3,4
1521740258153,0,3,4
1521740258254,0,3,4
1521740258349,0,3,4
1521740258450,0,3,4
1521740258552,0,3,4
1521740258650,0,3,4
1521740258755,0,3,4
1521740258853,0,3,4
1521740258956,0,3,4
1521740259051,0,3,4
1521740259150,0,3,4
1521740259251,0,3,4
1521740259451,0,3,4
1521740259557,0,3,4
1521740259651,0,3,4
1521740259756,0,3,4
1521740259851,0,3,4
1521740259949,0,3,4
1521740260049,0,3,4
1521740260149,0,3,4
1521740260251,0,3,4
1521740260349,0,3,4
1521740260448,0,3,4
1521740260550,0,3,4
1521740260650,0,3,4
1521740260755,0,3,4
1521740260850,0,3,4
1521740260950,0,3,4
1521740261049,0,3,4
1521740261155,0,3,4
1521740261250,0,3,4
1521740261351,0,3,4
1521740261450,0,3,4
1521740261555,0,3,4
1521740261649,0,3,4
1521740261754,0,3,4
1521740261849,0,3,4
1521740261949,0,3,4
1521740262051,0,3,4
1521740262153,0,3,4
1521740262251,0,3,4
1521740262351,0,3,4
1521740262454,0,3,4
1521740262554,0,3,4
1521740262649,0,3,4
1521740262754,0,3,4
1521740262853,0,3,4
1521740262950,0,3,4
1521740263050,0,3,4
1521740263151,0,3,4
1521740263250,0,3,4
1521740263350,0,3,4
1521740263451,0,3,4
1521740263551,0,3,4
1521740263652,0,3,4
1521740263752,0,3,4
1521740263853,0,3,4
1521740263952,0,3,4
1521740264050,0,3,4
1521740264150,0,3,4
1521740264249,0,3,4
1521740264349,0,3,4
1521740264452,0,3,4
1521740264553,0,3,4
1521740264654,0,3,4
1521740264750,0,3,4
1521740264853,0,3,4
1521740264952,0,3,4
1521740265055,0,3,4
1521740265148,0,3,4
1521740265255,0,3,4
1521740265350,0,3,4
1521740265450,0,3,4
1521740265551,0,3,4
1521740265654,0,3,4
1521740265752,0,3,4
1521740265851,0,3,4
1521740265952,0,3,4
1521740266056,0,3,4
1521740266150,0,3,4
1521740266249,0,3,4
1521740266352,0,3,4
1521740266456,0,3,4
1521740266551,0,3,4
1521740266657,0,3,4
1521740266751,0,3,4
1521740266851,0,3,4
1521740266949,0,3,4
1521740267053,0,3,4
1521740267150,0,3,4
1521740267253,0,3,4
1521740267350,0,3,4
1521740267449,0,3,4
1521740267549,0,3,4
1521740267648,0,3,4
1521740267752,0,3,4
1521740267850,0,3,4
1521740267954,0,3,4
1521740268049,0,3,4
1521740268155,0,3,4
1521740268249,0,3,4
1521740268450,0,3,4
1521740268553,0,3,4
1521740268651,0,3,4
1521740268751,0,3,4
1521740268853,0,3,4
1521740268949,0,3,4
1521740269052,0,3,4
1521740269153,0,3,4
1521740269249,0,3,4
1521740269351,0,3,4
1521740269453,0,3,4
1521740269556,0,3,4
1521740269649,0,3,4
1521740269748,0,3,4
1521740269850,0,3,4
1521740269949,0,3,4
1521740270052,0,3,4
1521740270149,0,3,4
1521740270248,0,3,4
1521740270351,0,3,4
1521740270449,0,3,4
1521740270551,0,3,4
1521740270652,0,3,4
1521740270752,0,3,4
1521740270854,0,3,4
1521740270952,0,3,4
1521740271052,0,3,4
1521740271151,0,3,4
1521740271252,0,3,4
1521740271349,0,3,4
1521740271452,0,3,4
1521740271552,0,3,4
1521740271653,0,3,4
1521740271752,0,3,4
1521740271848,0,3,4
1521740271952,0,3,4
1521740272052,0,3,4
1521740272153,0,3,4
1521740272257,0,3,4
1521740272355,0,3,4
1521740272450,0,3,4
1521740272553,0,3,4
1521740272653,0,3,4
1521740272755,0,3,4
1521740272856,0,3,4
1521740272954,0,3,4
1521740273052,0,3,4
1521740273151,0,3,4
1521740273255,0,3,4
1521740273351,0,3,4
1521740273454,0,3,4
1521740273556,0,3,4
1521740273653,0,3,4
1521740273757,0,3,4
1521740273850,0,3,4
1521740273955,0,3,4
1521740274053,0,3,4
1521740274155,0,3,4
1521740274255,0,3,4
1521740274351,0,3,4
1521740274455,0,3,4
1521740274551,0,3,4
1521740274653,0,3,4
1521740274755,0,3,4
1521740274948,0,3,4
1521740275049,0,3,4
1521740275154,0,3,4
1521740275252,0,3,4
1521740275350,0,3,4
1521740275453,0,3,4
1521740275554,0,3,4
1521740275652,0,3,4
1521740275753,0,3,4
1521740275851,0,3,4
1521740275952,0,3,4
1521740276051,0,3,4
1521740276153,0,3,4
1521740276249,0,3,4
1521740276357,0,3,4
1521740276451,0,3,4
1521740276554,0,3,4
1521740276649,0,3,4
1521740276753,0,3,4
1521740276849,0,3,4
1521740276955,0,3,4
1521740277049,0,3,4
1521740277153,0,3,4
1521740277249,0,3,4
1521740277357,0,3,4
1521740277450,0,3,4
1521740277553,0,3,4
1521740277649,0,3,4
1521740277750,0,3,4
1521740277856,0,3,4
1521740277951,0,3,4
1521740278050,0,3,4
1521740278152,0,3,4
1521740278252,0,3,4
1521740278352,0,3,4
1521740278452,0,3,4
1521740278550,0,3,4
1521740278649,0,3,4
1521740278748,0,3,4
1521740278854,0,3,4
1521740278948,0,3,4
1521740279053,0,3,4
1521740279150,0,3,4
1521740279248,0,3,4
1521740279349,0,3,4
1521740279452,0,3,4
