EpochTime,BuffWarning,status,Resolution
1521744189852,1,3,4
1521744189953,1,3,4
1521744190054,1,3,4
1521744190154,1,3,4
1521744190255,1,3,4
1521744190352,1,3,4
1521744190453,1,3,4
1521744190552,1,3,4
1521744190653,1,3,4
1521744190752,1,3,4
1521744190853,1,3,4
1521744190952,1,3,4
1521744191052,1,3,4
1521744191153,1,3,4
1521744191253,1,3,4
1521744191353,1,3,4
1521744191453,1,3,4
1521744191553,1,3,4
1521744191653,1,3,4
1521744191753,1,3,4
1521744191858,1,3,4
1521744191957,1,3,4
1521744192055,1,3,4
1521744192156,1,3,4
1521744192252,1,3,4
1521744192358,1,3,4
1521744192457,1,3,4
1521744192552,1,3,4
1521744192656,1,3,4
1521744192754,1,3,4
1521744192853,1,3,4
1521744192953,1,3,4
1521744193054,1,3,4
1521744193153,1,3,4
1521744193253,1,3,4
1521744193354,0,3,4
1521744193453,0,3,4
1521744193552,0,3,4
1521744193659,0,3,4
1521744193752,0,3,4
1521744193854,0,3,4
1521744193952,0,3,4
1521744194052,0,3,4
1521744194153,0,3,4
1521744194252,0,3,4
1521744194353,0,3,4
1521744194454,0,3,4
1521744194553,0,3,4
1521744194652,0,3,4
1521744194754,0,3,4
1521744194862,0,3,4
1521744194954,0,3,4
1521744195052,0,3,4
1521744195152,0,3,4
1521744195252,0,3,4
1521744195352,0,3,4
1521744195452,0,3,4
1521744195553,0,3,4
1521744195653,0,3,4
1521744195753,0,3,4
1521744195862,0,3,4
1521744195953,0,3,4
1521744196055,0,3,4
1521744196155,0,3,4
1521744196254,0,3,4
1521744196353,0,3,4
1521744196455,0,3,4
1521744196553,0,3,4
1521744196653,0,3,4
1521744196753,0,3,4
1521744196854,0,3,4
1521744196954,0,3,4
1521744197054,0,3,4
1521744197154,0,3,4
1521744197254,0,3,4
1521744197356,0,3,4
1521744197455,0,3,4
1521744197556,0,3,4
1521744197657,0,3,4
1521744197757,0,3,4
1521744197853,0,3,4
1521744197955,0,3,4
1521744198053,0,3,4
1521744198156,0,3,4
1521744198256,0,3,4
1521744198355,0,3,4
1521744198457,0,3,4
1521744198553,0,3,4
1521744198652,0,3,4
1521744198752,0,3,4
1521744198856,0,3,4
1521744198955,0,3,4
1521744199052,0,3,4
1521744199153,0,3,4
1521744199255,0,3,4
1521744199353,0,3,4
1521744199456,0,3,4
1521744199555,0,3,4
1521744199654,0,3,4
1521744199752,0,3,4
1521744199854,0,3,4
1521744199956,0,3,4
1521744200053,0,3,4
1521744200164,0,3,4
1521744200254,0,3,4
1521744200353,0,3,4
1521744200453,0,3,4
1521744200556,0,3,4
1521744200652,0,3,4
1521744200754,0,3,4
1521744200853,0,3,4
1521744200952,0,3,4
1521744201052,0,3,4
1521744201152,0,3,4
1521744201252,0,3,4
1521744201353,0,3,4
1521744201453,0,3,4
1521744201555,0,3,4
1521744201652,0,3,4
1521744201758,0,3,4
1521744201853,0,3,4
1521744201953,0,3,4
1521744202054,0,3,4
1521744202152,0,3,4
1521744202257,0,3,4
1521744202354,0,3,4
1521744202454,0,3,4
1521744202554,0,3,4
1521744202653,0,3,4
1521744202755,0,3,4
1521744202854,0,3,4
1521744202954,0,3,4
1521744203055,0,3,4
1521744203152,0,3,4
1521744203255,0,3,4
1521744203355,0,3,4
1521744203455,0,3,4
1521744203555,0,3,4
1521744203652,0,3,4
1521744203753,0,3,4
1521744203854,0,3,4
1521744203954,0,3,4
1521744204055,0,3,4
1521744204155,0,3,4
1521744204254,0,3,4
1521744204353,0,3,4
1521744204456,0,3,4
1521744204555,0,3,4
1521744204655,0,3,4
1521744204756,0,3,4
1521744204858,0,3,4
1521744204952,0,3,4
1521744205057,0,3,4
1521744205157,0,3,4
1521744205251,0,3,4
1521744205358,0,3,4
1521744205454,0,3,4
1521744205553,0,3,4
1521744205658,0,3,4
1521744205755,0,3,4
1521744205864,0,3,4
1521744205954,0,3,4
1521744206057,0,3,4
1521744206157,0,3,4
1521744206254,0,3,4
1521744206356,0,3,4
1521744206455,0,3,4
1521744206552,0,3,4
1521744206655,0,3,4
1521744206754,0,3,4
1521744206855,0,3,4
1521744206952,0,3,4
1521744207055,0,3,4
1521744207152,0,3,4
1521744207252,0,3,4
1521744207355,0,3,4
1521744207453,0,3,4
1521744207554,0,3,4
1521744207652,0,3,4
1521744207752,0,3,4
1521744207852,0,3,4
1521744207951,0,3,4
1521744208054,0,3,4
1521744208154,0,3,4
1521744208252,0,3,4
1521744208361,0,3,4
1521744208452,0,3,4
1521744208554,0,3,4
