EpochTime,BuffWarning,status,Resolution
1521746170574,1,3,4
1521746170674,1,3,4
1521746170875,1,3,4
1521746170974,1,3,4
1521746171075,1,3,4
1521746171174,1,3,4
1521746171275,1,3,4
1521746171374,1,3,4
1521746171474,1,3,4
1521746171575,1,3,4
1521746171676,1,3,4
1521746171776,1,3,4
1521746171876,1,3,4
1521746172074,1,3,4
1521746172175,1,3,4
1521746172275,1,3,4
1521746172375,1,3,4
1521746172475,1,3,4
1521746172674,1,3,4
1521746172774,1,3,4
1521746172874,1,3,4
1521746173075,1,3,4
1521746173176,1,3,4
1521746173375,0,3,4
1521746173474,0,3,4
1521746173575,0,3,4
1521746173775,0,3,4
1521746173974,0,3,4
1521746174075,0,3,4
1521746174176,0,3,4
1521746174374,0,3,4
1521746174475,0,3,4
1521746174575,0,3,4
1521746174674,0,3,4
1521746174874,0,3,4
1521746174974,0,3,4
1521746175074,0,3,4
1521746175175,0,3,4
1521746175274,0,3,4
1521746175475,0,3,4
1521746175575,0,3,4
1521746175674,0,3,4
1521746175775,0,3,4
1521746175875,0,3,4
1521746175975,0,3,4
1521746176075,0,3,4
1521746176175,0,3,4
1521746176274,0,3,4
1521746176374,0,3,4
1521746176475,0,3,4
1521746176575,0,3,4
1521746176674,0,3,4
1521746176774,0,3,4
1521746176974,0,3,4
1521746177075,0,3,4
1521746177174,0,3,4
1521746177274,0,3,4
1521746177374,0,3,4
1521746177475,0,3,4
1521746177574,0,3,4
1521746177675,0,3,4
1521746177774,0,3,4
1521746177874,0,3,4
1521746177973,0,3,4
1521746178075,0,3,4
1521746178174,0,3,4
1521746178274,0,3,4
1521746178374,0,3,4
1521746178474,0,3,4
1521746178675,0,3,4
1521746178874,0,3,4
1521746178976,0,3,4
1521746179175,0,3,4
1521746179277,0,3,4
1521746179376,0,3,4
1521746179476,0,3,4
1521746179577,0,3,4
1521746179775,0,3,4
1521746179874,0,3,4
1521746179976,0,3,4
1521746180174,0,3,4
1521746180276,0,3,4
1521746180475,0,3,4
1521746180577,0,3,4
1521746180676,0,3,4
1521746180875,0,3,4
1521746180975,0,3,4
1521746181075,0,3,4
1521746181174,0,3,4
1521746181274,0,3,4
1521746181375,0,3,4
1521746181473,0,3,4
1521746181574,0,3,4
1521746181674,0,3,4
1521746181875,0,3,4
1521746182074,0,3,4
1521746182174,0,3,4
1521746182274,0,3,4
1521746182374,0,3,4
1521746182474,0,3,4
1521746182574,0,3,4
1521746182673,0,3,4
1521746182775,0,3,4
1521746182874,0,3,4
1521746182974,0,3,4
1521746183074,0,3,4
1521746183174,0,3,4
1521746183274,0,3,4
1521746183374,0,3,4
1521746183474,0,3,4
1521746183575,0,3,4
1521746183674,0,3,4
1521746183775,0,3,4
1521746183874,0,3,4
1521746183975,0,3,4
1521746184074,0,3,4
1521746184274,0,3,4
1521746184373,0,3,4
1521746184474,0,3,4
1521746184576,0,3,4
1521746184774,0,3,4
1521746184874,0,3,4
1521746184975,0,3,4
1521746185074,0,3,4
1521746185173,0,3,4
1521746185274,0,3,4
1521746185374,0,3,4
1521746185474,0,3,4
1521746185674,0,3,4
1521746185774,0,3,4
1521746185874,0,3,4
1521746185974,0,3,4
1521746186074,0,3,4
1521746186175,0,3,4
1521746186274,0,3,4
1521746186474,0,3,4
1521746186674,0,3,4
1521746186875,0,3,4
1521746186974,0,3,4
1521746187075,0,3,4
1521746187175,0,3,4
1521746187275,0,3,4
1521746187374,0,3,4
1521746187474,0,3,4
1521746187574,0,3,4
1521746187674,0,3,4
1521746187774,0,3,4
1521746187875,0,3,4
1521746187976,0,3,4
1521746188175,0,3,4
1521746188274,0,3,4
1521746188375,0,3,4
1521746188474,0,3,4
1521746188674,0,3,4
1521746188774,0,3,4
1521746188875,0,3,4
1521746188974,0,3,4
1521746189075,0,3,4
1521746189274,0,3,4
1521746189375,0,3,4
1521746189473,0,3,4
1521746189576,0,3,4
1521746189774,0,3,4
1521746189874,0,3,4
1521746189975,0,3,4
1521746190173,0,3,4
1521746190274,0,3,4
1521746190375,0,3,4
1521746190474,0,3,4
1521746190675,0,3,4
1521746190774,0,3,4
1521746190873,0,3,4
1521746190974,0,3,4
1521746191074,0,3,4
1521746191174,0,3,4
1521746191275,0,3,4
1521746191373,0,3,4
1521746191474,0,3,4
1521746191574,0,3,4
1521746191775,0,3,4
1521746191874,0,3,4
1521746191975,0,3,4
1521746192074,0,3,4
1521746192173,0,3,4
1521746192274,0,3,4
1521746192373,0,3,4
1521746192474,0,3,4
1521746192574,0,3,4
1521746192674,0,3,4
1521746192774,0,3,4
1521746192875,0,3,4
1521746192975,0,3,4
1521746193175,0,3,4
1521746193375,0,3,4
1521746193475,0,3,4
1521746193576,0,3,4
1521746193775,0,3,4
1521746193873,0,3,4
1521746193974,0,3,4
1521746194175,0,3,4
1521746194276,0,3,4
1521746194376,0,3,4
1521746194476,0,3,4
1521746194576,0,3,4
1521746194775,0,3,4
1521746194874,0,3,4
1521746194975,0,3,4
1521746195173,0,3,4
1521746195275,0,3,4
1521746195375,0,3,4
1521746195474,0,3,4
1521746195574,0,3,4
1521746195675,0,3,4
1521746195774,0,3,4
1521746195873,0,3,4
1521746195975,0,3,4
1521746196074,0,3,4
1521746196174,0,3,4
1521746196275,0,3,4
1521746196374,0,3,4
1521746196474,0,3,4
1521746196574,0,3,4
1521746196673,0,3,4
1521746196774,0,3,4
1521746196874,0,3,4
1521746196974,0,3,4
1521746197074,0,3,4
1521746197174,0,3,4
1521746197275,0,3,4
1521746197373,0,3,4
1521746197473,0,3,4
1521746197574,0,3,4
1521746197674,0,3,4
1521746197773,0,3,4
1521746197874,0,3,4
1521746197974,0,3,4
1521746198075,0,3,4
1521746198173,0,3,4
1521746198275,0,3,4
1521746198373,0,3,4
1521746198474,0,3,4
1521746198674,0,3,4
1521746198775,0,3,4
1521746198873,0,3,4
1521746198974,0,3,4
1521746199074,0,3,4
1521746199175,0,3,4
1521746199274,0,3,4
1521746199374,0,3,4
1521746199473,0,3,4
1521746199674,0,3,4
1521746199774,0,3,4
1521746199874,0,3,4
1521746199973,0,3,4
1521746200173,0,3,4
1521746200273,0,3,4
1521746200375,0,3,4
1521746200474,0,3,4
1521746200674,0,3,4
1521746200775,0,3,4
1521746200875,0,3,4
1521746200974,0,3,4
1521746201075,0,3,4
