EpochTime,BuffWarning,status,Resolution
1521745506850,1,3,4
1521745506950,1,3,4
1521745507054,1,3,4
1521745507150,1,3,4
1521745507250,1,3,4
1521745507351,1,3,4
1521745507451,1,3,4
1521745507551,1,3,4
1521745507651,1,3,4
1521745507751,1,3,4
1521745507852,1,3,4
1521745507951,1,3,4
1521745508050,1,3,4
1521745508151,1,3,4
1521745508250,1,3,4
1521745508352,1,3,4
1521745508455,1,3,4
1521745508553,1,3,4
1521745508650,1,3,4
1521745508752,1,3,4
1521745508856,1,3,4
1521745508952,1,3,4
1521745509052,1,3,4
1521745509151,1,3,4
1521745509250,1,3,4
1521745509351,1,3,4
1521745509450,1,3,4
1521745509552,1,3,4
1521745509650,1,3,4
1521745509750,1,3,4
1521745509860,1,3,4
1521745509954,1,3,4
1521745510051,1,3,4
1521745510150,1,3,4
1521745510250,1,3,4
1521745510354,1,3,4
1521745510451,1,3,4
1521745510550,1,3,4
1521745510651,1,3,4
1521745510751,1,3,4
1521745510853,1,3,4
1521745510950,1,3,4
1521745511050,1,3,4
1521745511150,1,3,4
1521745511250,1,3,4
1521745511351,1,3,4
1521745511451,1,3,4
1521745511551,1,3,4
1521745511650,0,3,4
1521745511752,0,3,4
1521745511858,0,3,4
1521745511951,0,3,4
1521745512051,0,3,4
1521745512150,0,3,4
1521745512251,0,3,4
1521745512358,0,3,4
1521745512453,0,3,4
1521745512550,0,3,4
1521745512650,0,3,4
1521745512752,0,3,4
1521745512850,0,3,4
1521745512950,0,3,4
1521745513050,0,3,4
1521745513150,0,3,4
1521745513251,0,3,4
1521745513352,0,3,4
1521745513452,0,3,4
1521745513552,0,3,4
1521745513651,0,3,4
1521745513752,0,3,4
1521745513854,0,3,4
1521745513953,0,3,4
1521745514053,0,3,4
1521745514151,0,3,4
1521745514254,0,3,4
1521745514350,0,3,4
1521745514454,0,3,4
1521745514555,0,3,4
1521745514651,0,3,4
1521745514750,0,3,4
1521745514853,0,3,4
1521745514956,0,3,4
1521745515054,0,3,4
1521745515151,0,3,4
1521745515255,0,3,4
1521745515353,0,3,4
1521745515453,0,3,4
1521745515555,0,3,4
